nl,act1,act2,act3,slot1,slot2,slot3
can i have $food$ food in the $area$,inform,inform,,food,area,
can i find a restaurant in the $area$ that is $pricerange$ priced,inform,inform,,pricerange,area,
can i find an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
can i have a $food$ restaurant please,inform,,,food,,
can i have $pricerange$ priced restaurnt in the $area$ part of town,inform,inform,,pricerange,area,
im looking for a restaurant in the $area$ part of town that serves euro,inform,,,area,,
how bout the $area$ part of town,inform,,,area,,
i need the $addr$ and $phone$,request,request,,addr,phone,
looking for a restaurant in the $area$ part of town serving,inform,,,area,,
$phone$ and $pricerange$,request,request,,phone,pricerange,
$addr$ $phone$ and type of $food$,request,request,request,addr,phone,food
$addr$ and type of $food$,request,request,,addr,food,
im looking for a $pricerange$ restaurant in the $area$ part of,inform,inform,,pricerange,area,
can i find a $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
can i get the $phone$ and $area$,request,request,,phone,area,
i dont care about $pricerange$,dontcare,,,pricerange,,
i need a $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
could i get the $addr$,request,,,addr,,
i need restaurant serves $food$ food,inform,,,food,,
can i get the $addr$ $phone$,request,request,,addr,phone,
okay bye,bye,,,,,
can i get a restaurant serving $food$ food,inform,,,food,,
i dont care what $area$,dontcare,,,area,,
is there a $food$ food,confirm,,,food,,
what about other parts of town,inform,,,area,,
what about the $area$ part of town,inform,,,area,,
can i get a $addr$,request,,,addr,,
oh whats the $addr$,request,,,addr,,
i need an $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
$food$ food $pricerange$ price range,inform,inform,,food,pricerange,
i want to know the $addr$ and $phone$,request,request,,addr,phone,
im looking for $food$ food i dont care about the $pricerange$,inform,dontcare,,food,pricerange,
may i have $food$ food,inform,,,food,,
i dont care what $pricerange$,dontcare,,,pricerange,,
im looking for a $pricerange$ priced restaurant and it should be in the $area$ of town,inform,inform,,pricerange,area,
i want to find a $pricerange$ priced restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
can i get the $addr$ and type of $food$,request,request,,addr,food,
what type of $food$ does the venue,request,,,food,,
can i get the $addr$ and $area$ of the venue,request,request,,addr,area,
id like to know the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
yeah im looking for food $pricerange$ restaurant,inform,,,pricerange,,
is it in the $area$ part,confirm,,,area,,
im looking for a restaurant in the $area$ part of town and it sh,inform,,,area,,
for an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
im looking for a restaurant in the $area$ part of town and it should $food$ food,inform,inform,,food,area,
can i have the $phone$ $addr$ and $pricerange$,request,request,request,phone,addr,pricerange
what no,negate,,,,,
im looking for a $pricerange$ restaurant on the $area$ side of town,inform,inform,,pricerange,area,
uh can i get the $addr$,request,,,addr,,
i would like to find a $pricerange$ priced restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
like to find a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i want to find a $pricerange$ priced restaurant in the $area$ part of time,inform,inform,,pricerange,area,
uh im looking for a $pricerange$ priced restaurant serving,inform,,,pricerange,,
okay how about a $pricerange$ prices restaurant that serves,inform,,,pricerange,,
yeah can i um,affirm,,,,,
a restaurant in the $area$ part of town should serve $food$ food,inform,inform,,food,area,
$food$ of food,inform,,,food,,
$pricerange$ $area$,inform,inform,,pricerange,area,
$pricerange$ $pricerange$,inform,,,pricerange,,
airatarin,inform,,,food,,
uh no preference,negate,,,,,
an $pricerange$,inform,,,pricerange,,
what is their $area$,request,,,area,,
um could you give me the $addr$,request,,,addr,,
is there on serving chineese,inform,,,food,,
what about chineese,inform,,,food,,
yes do you have one with $food$,inform,,,food,,
okay i need the $addr$,request,,,addr,,
alright do you have the $phone$ for that one,request,,,phone,,
okay what about the $postcode$,request,,,postcode,,
okay can you give me the $addr$ there,request,,,addr,,
okay what about a a $food$,inform,,,food,,
ah could you give me the $addr$,request,,,addr,,
okay could you give me the $phone$,request,,,phone,,
im looking for a barbecue restaurant in the $area$ part of town,inform,inform,,food,area,
how about an $food$ type food restaurant,inform,,,food,,
uh $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
the $phone$ and $postcode$,request,request,,phone,postcode,
how about a $food$ restaurant,inform,,,food,,
what kind of $food$ do they serve there,request,,,food,,
how $food$,inform,,,food,,
how $food$ food,inform,,,food,,
id like a barbecue restaurant,inform,,,food,,
i want an $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
an $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
whats the $addr$ $phone$ and $area$,request,request,request,addr,phone,area
i want an $food$ restaurant thats $pricerange$,inform,inform,,food,pricerange,
i want a $food$ restaurant thats $pricerange$,inform,inform,,food,pricerange,
$pricerange$ $area$ part of town,inform,inform,,pricerange,area,
$food$ food $area$ part of town,inform,inform,,food,area,
$pricerange$ priced $area$ part of town,inform,inform,,pricerange,area,
no belgium,negate,,,food,,
$pricerange$ priced restaurants,inform,,,pricerange,,
$pricerange$ priced restaurant $area$ part of town,inform,inform,,pricerange,area,
restaurant $area$ part of town,inform,,,area,,
no $area$ part of town,negate,,,area,,
im looking for restaurants in the $area$ part of town,inform,,,area,,
thank you can i have the $addr$ $phone$,request,request,,addr,phone,
im looking for restaurant that serves $food$ food,inform,,,food,,
can i have the $addr$ $phone$,request,request,,addr,phone,
no the $area$ part,negate,,,area,,
um an $pricerange$,inform,,,pricerange,,
i want to find a $pricerange$ priced restaurant that serves vietna,inform,,,pricerange,,
ne $food$,inform,,,food,,
how bout $pricerange$ price range,inform,,,pricerange,,
is there anything else besides $name$,inform,,,name,,
im looking for a restaurant in $area$ area serving $food$ food,inform,inform,,food,area,
im looking for a $pricerange$ priced restaurant uh serving $food$ food,inform,inform,,food,pricerange,
no i want $food$ food,negate,,,food,,
um what about $food$,inform,,,food,,
and what $area$,request,,,area,,
type of $food$ does $name$ serve,request,inform,,food,name,
are there any other $pricerange$ restaurants in the $area$ part of town,inform,inform,,pricerange,area,
im looking for a restaurant in $area$ area that serves,inform,,,area,,
ok yeah,affirm,,,,,
hi im looking for $pricerange$ priced,inform,,,pricerange,,
i would like $food$,inform,,,food,,
im looking for a $pricerange$ restaurant that serves,inform,,,pricerange,,
id like a $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
id like a $pricerange$ restaurant that serves $food$,inform,inform,,food,pricerange,
id like a restaurant in the $area$ part of town that serves,inform,,,area,,
id like a restaurant in $area$ area that serves $food$ food,inform,inform,,food,area,
hello hello oh your on the phone yea,hello,,,,,
id like a $food$ restaurant,inform,,,food,,
how about cantonates food,inform,,,food,,
uh id like a $pricerange$ restaurant in the,inform,,,pricerange,,
id like a $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
id like a pan asian restaurant,inform,,,food,,
no im looking for pan asian,negate,,,food,,
id like an $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
id like a restaurant in the $area$ part of town that serves cross over food,inform,,,area,,
id like a $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
what is what $area$ is it in,request,,,area,,
the address $phone$ and $postcode$,request,request,,phone,postcode,
im looking for a restaurant in the $area$ that serves $food$,inform,inform,,food,area,
i want a restaurant in the $area$ that serves $food$,inform,inform,,food,area,
are there any other options,reqalts,,,,,
what about a restaurant that serves $food$ food,inform,,,food,,
change that to $food$ food,inform,,,food,,
it does not matter,dontcare,,,,,
change that to a $food$ restaurant,inform,,,food,,
im looking for a $pricerange$ restaurant that sells $food$,inform,inform,,food,pricerange,
yes in the $pricerange$ price range,inform,,,pricerange,,
whats the $phone$ and $postcode$,request,request,,phone,postcode,
im looking for a $pricerange$ priced restaurant with $food$ food,inform,inform,,food,pricerange,
how about a $pricerange$ priced restaurant that serves spani,inform,,,pricerange,,
how about a $pricerange$ priced restaurant that serves $food$,inform,inform,,food,pricerange,
i want a restaurant in the $area$ part of town that serves $food$,inform,inform,,food,area,
how about a restaurant in the $area$ part of town that serves $food$,inform,inform,,food,area,
what about a restaurant that serves $food$,inform,,,food,,
im looking for a restaurant in the $area$ that serves sea food,inform,inform,,food,area,
what about in the $area$ area,inform,,,area,,
im looking for a restaurant in the $area$ part that serves $food$ food,inform,inform,,food,area,
how about a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
what about a restaurant in the $area$ part of town that serves $food$ type food,inform,inform,,food,area,
whats the type of $food$,request,,,food,,
$pricerange$ priced serving gastro pub,inform,,,pricerange,,
in the $area$ that serves asian,inform,inform,,food,area,
restaurant in the $area$,inform,,,area,,
india,inform,,,food,,
city $area$,inform,,,area,,
im looking for a restaurant in the $area$ of town that serves $food$,inform,inform,,food,area,
can i find a restaurant that serves $food$ food,inform,,,food,,
okay what about another restaurant,reqalts,,,,,
can i find a restaurant with $food$ food,inform,,,food,,
i would like to find a restaurant in the $area$ part of town,inform,,,area,,
ok i would like to find a restaurant that serves $food$ food,inform,,,food,,
$name$ $phone$,inform,request,,name,phone,
i am looking for a $food$ food,inform,,,food,,
can i have another option,reqalts,,,,,
i want to find a restaurant in the $area$ that serves $food$,inform,inform,,food,area,
that serves $food$,inform,,,food,,
the $food$ food,inform,,,food,,
what about $area$ area,inform,,,area,,
im looking for a $food$ restaurant in $area$ area,inform,inform,,food,area,
scandanavian,inform,,,food,,
im done thank you,bye,,,,,
no $pricerange$ priced,negate,,,pricerange,,
$phone$ please,request,,,phone,,
yes i would like $food$ food,inform,,,food,,
$area$ the $addr$ and $postcode$ please,request,request,request,area,postcode,addr
yes in the $pricerange$ priced,inform,,,pricerange,,
the $addr$ and $postcode$ please,request,request,,addr,postcode,
yes id like an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
yes id like $food$ food in the $area$ part of town,inform,inform,,food,area,
that serves in the $pricerange$ food price,inform,,,pricerange,,
what about the $area$ of town,inform,,,area,,
id like to find a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
id like to find a restaurant in the $area$ part of town serving $food$ food,inform,inform,,food,area,
